iter	Passed	Remaining
402	9273	13736
403	9293	13709
404	9317	13688
405	9339	13663
406	9363	13642
407	9383	13615
408	9405	13591
409	9428	13567
410	9449	13541
411	9470	13516
412	9490	13489
413	9513	13465
414	9534	13440
415	9556	13415
416	9577	13390
417	9598	13365
418	9619	13338
419	9641	13314
420	9664	13291
421	9687	13268
422	9712	13248
423	9734	13224
424	9757	13200
425	9781	13179
426	9806	13159
427	9831	13139
428	9855	13117
429	9876	13091
430	9900	13070
431	9924	13049
432	9948	13027
433	9972	13005
434	9997	12984
435	10020	12962
436	10044	12939
437	10065	12914
438	10085	12888
439	10107	12864
440	10128	12839
441	10148	12812
442	10172	12789
443	10194	12766
444	10216	12742
445	10236	12715
446	10258	12690
447	10277	12663
448	10301	12641
449	10323	12617
450	10344	12592
451	10365	12567
452	10387	12543
453	10411	12521
454	10436	12501
455	10459	12477
456	10482	12454
457	10505	12432
458	10531	12412
459	10555	12391
460	10580	12370
461	10606	12351
462	10630	12329
463	10652	12305
464	10675	12282
465	10700	12261
466	10722	12237
467	10746	12215
468	10770	12194
469	10792	12170
470	10815	12146
471	10837	12122
472	10860	12100
473	10881	12075
474	10905	12053
475	10928	12030
476	10950	12006
477	10972	11982
478	10993	11957
479	11015	11933
480	11037	11909
481	11060	11886
482	11080	11860
483	11100	11834
484	11124	11812
485	11146	11788
486	11168	11764
487	11189	11740
488	11212	11717
489	11236	11695
490	11258	11671
491	11280	11646
492	11301	11622
493	11322	11597
494	11343	11572
495	11364	11547
496	11385	11523
497	11407	11499
498	11430	11476
499	11452	11452
500	11476	11431
501	11497	11405
502	11520	11382
503	11544	11360
504	11566	11337
505	11588	11313
506	11609	11288
507	11630	11264
508	11653	11241
509	11676	11218
510	11698	11195
511	11720	11171
512	11742	11147
513	11765	11124
514	11791	11104
515	11813	11080
516	11835	11057
517	11857	11032
518	11878	11009
519	11901	10986
520	11924	10963
521	11947	10940
522	11968	10915
523	11989	10891
524	12010	10866
525	12032	10843
526	12054	10818
527	12076	10795
528	12099	10773
529	12121	10749
530	12143	10725
531	12163	10700
532	12187	10678
533	12208	10654
534	12230	10630
535	12253	10607
536	12275	10583
537	12298	10561
538	12321	10538
539	12341	10512
540	12361	10488
541	12384	10464
542	12406	10441
543	12427	10416
544	12449	10393
545	12472	10371
546	12495	10347
547	12518	10325
548	12541	10303
549	12564	10279
550	12587	10257
551	12607	10232
552	12628	10207
553	12648	10182
554	12670	10158
555	12690	10133
556	12711	10109
557	12733	10086
558	12757	10064
559	12782	10043
560	12808	10023
561	12833	10001
562	12857	9980
563	12882	9958
564	12906	9936
565	12931	9915
566	12957	9895
567	12980	9872
568	13003	9849
569	13029	9829
570	13051	9805
571	13073	9782
572	13095	9758
573	13116	9734
574	13139	9711
575	13160	9687
576	13180	9662
577	13201	9638
578	13224	9615
579	13246	9591
580	13269	9569
581	13292	9546
582	13313	9522
583	13336	9499
584	13358	9476
585	13380	9452
586	13403	9430
587	13425	9406
588	13445	9382
589	13466	9357
590	13486	9333
591	13509	9310
592	13532	9287
593	13554	9264
594	13575	9240
595	13596	9216
596	13617	9192
597	13639	9169
598	13662	9146
599	13683	9122
600	13708	9100
601	13729	9076
602	13750	9053
603	13773	9030
604	13797	9008
605	13821	8986
606	13841	8961
607	13863	8938
608	13885	8915
609	13909	8893
610	13933	8871
611	13955	8847
612	13975	8823
613	13999	8800
614	14021	8777
615	14042	8753
616	14063	8729
617	14086	8706
618	14107	8683
619	14131	8661
620	14153	8637
621	14177	8615
622	14200	8593
623	14222	8569
624	14244	8546
625	14266	8523
626	14288	8500
627	14311	8477
628	14335	8455
629	14356	8431
630	14378	8408
631	14399	8384
632	14421	8361
633	14445	8339
634	14465	8315
635	14488	8292
636	14509	8268
637	14530	8244
638	14552	8221
639	14573	8197
640	14595	8174
641	14617	8151
642	14637	8127
643	14661	8104
644	14681	8080
645	14703	8057
646	14724	8033
647	14746	8010
648	14768	7987
649	14792	7965
650	14814	7942
651	14834	7917
652	14855	7894
653	14878	7871
654	14902	7849
655	14925	7826
656	14947	7803
657	14968	7780
658	14989	7756
659	15012	7733
660	15035	7711
661	15059	7689
662	15083	7666
663	15107	7644
664	15128	7621
665	15155	7600
666	15177	7577
667	15200	7554
668	15224	7532
669	15247	7510
670	15271	7487
671	15297	7466
672	15322	7444
673	15345	7422
674	15366	7398
675	15390	7376
676	15413	7353
677	15435	7330
678	15457	7307
679	15481	7285
680	15504	7262
681	15526	7239
682	15547	7215
683	15569	7192
684	15591	7169
685	15612	7146
686	15635	7123
687	15655	7099
688	15676	7076
689	15699	7053
690	15722	7030
691	15744	7007
692	15767	6984
693	15788	6961
694	15810	6938
695	15830	6914
696	15851	6890
697	15873	6867
698	15895	6845
699	15918	6822
700	15941	6799
701	15963	6776
702	15985	6753
703	16007	6730
704	16029	6707
705	16051	6684
706	16073	6661
707	16096	6638
708	16119	6615
709	16139	6592
710	16161	6568
711	16184	6546
712	16207	6524
713	16228	6500
714	16249	6477
715	16271	6453
716	16293	6430
717	16315	6407
718	16337	6384
719	16359	6362
720	16381	6338
721	16404	6316
722	16425	6293
723	16448	6270
724	16468	6246
725	16490	6223
726	16511	6200
727	16533	6177
728	16555	6154
729	16576	6130
730	16598	6108
731	16620	6084
732	16644	6062
733	16667	6040
734	16689	6017
735	16713	5995
736	16734	5971
737	16755	5948
738	16777	5925
739	16800	5902
740	16820	5879
741	16842	5856
742	16864	5833
743	16887	5810
744	16909	5787
745	16932	5765
746	16956	5742
747	16979	5720
748	17002	5697
749	17025	5675
750	17047	5652
751	17070	5629
752	17092	5606
