iter	Logloss
0	0.5937136679
1	0.5148927483
2	0.4502278389
3	0.3946608497
4	0.3524072773
5	0.3171247675
6	0.2871230545
7	0.2658112158
8	0.2471525165
9	0.2321330058
10	0.2187230906
11	0.2065034228
12	0.1967535535
13	0.1884503331
14	0.1810954242
15	0.1754861665
16	0.1713324021
17	0.1667632471
18	0.1631314272
19	0.1599451504
20	0.1575375776
21	0.1553094781
22	0.1530777086
23	0.151239672
24	0.1499263451
25	0.1486402319
26	0.1474545265
27	0.1465811971
28	0.1458602733
29	0.1451067765
30	0.1443919803
31	0.1436277916
32	0.1429492672
33	0.142440763
34	0.1418878681
35	0.1413717895
36	0.1409611366
37	0.1406412985
38	0.1403686162
39	0.1401703868
40	0.1398729773
41	0.1395055003
42	0.1392294804
43	0.1389358822
44	0.1386628024
45	0.1384874167
46	0.1382925257
47	0.1380662291
48	0.1378504431
49	0.1377211453
50	0.1375037655
51	0.1373064233
52	0.1371093381
53	0.1369257252
54	0.1367464198
55	0.1366155852
56	0.1364381625
57	0.1362170735
58	0.1360753694
59	0.1359454582
60	0.1358347631
61	0.135665452
62	0.1355705207
63	0.13544356
64	0.1353520924
65	0.1352440958
66	0.1351063797
67	0.135021108
68	0.1348928177
69	0.134780443
70	0.1347012386
71	0.1346345359
72	0.1345326581
73	0.1344101888
74	0.1342805978
75	0.1341679662
76	0.1340541552
77	0.1339628521
78	0.1338278409
79	0.1337408703
80	0.1336550196
81	0.1335650277
82	0.1334759767
83	0.1333601087
84	0.1332386188
85	0.1331605666
86	0.1330728613
87	0.1329943875
88	0.1328805066
89	0.1327670199
90	0.1326623304
91	0.1325823159
92	0.1324572797
93	0.1323385663
94	0.1322172627
95	0.1321399395
96	0.1320461796
97	0.1319350743
98	0.1318576089
99	0.1317603774
100	0.1316660314
101	0.1315720187
102	0.1314797048
103	0.1314033466
104	0.1313219399
105	0.1312405067
106	0.1311766864
107	0.1311259289
108	0.1310463825
109	0.1309824674
110	0.1308881985
111	0.1307951355
112	0.130729935
113	0.1306697445
114	0.1305990129
115	0.1305141322
116	0.1304328595
117	0.1303499611
118	0.1302737996
119	0.1301773372
120	0.1300871703
121	0.130030111
122	0.1299511691
123	0.1298798025
124	0.1298100071
125	0.1297319901
126	0.1296620591
127	0.1295873958
128	0.1295349121
129	0.1294732965
130	0.1293997468
131	0.1293279578
132	0.129281006
133	0.1291978811
134	0.1291138859
135	0.1290243476
136	0.1289684084
137	0.1288846685
138	0.1288292463
139	0.128756876
140	0.1286773055
141	0.1286072877
142	0.128542202
143	0.1284634818
144	0.1284064554
145	0.1283281848
146	0.1282507323
147	0.1281964871
148	0.1281277362
149	0.1280459899
150	0.1279652311
151	0.1278896943
152	0.1278037152
153	0.1277302795
154	0.1276703355
155	0.1275720104
156	0.1275251381
157	0.1274585173
158	0.1273863349
159	0.1273506636
160	0.1272838975
161	0.1272043085
162	0.1271216935
163	0.1270451434
164	0.1269870934
165	0.126919139
166	0.1268626537
167	0.1267795923
168	0.1267229602
169	0.126660251
170	0.1265935515
171	0.1265065575
172	0.1264366096
173	0.1263857132
174	0.1263001917
175	0.1262435516
176	0.126182636
177	0.1261054437
178	0.1260445811
179	0.1259898566
180	0.1259117546
181	0.1258343093
182	0.1257585019
183	0.1257064189
184	0.1256283321
185	0.1255371592
186	0.1254494868
187	0.1253821739
188	0.1253008603
189	0.1252434839
190	0.1251994104
191	0.1251435715
192	0.125064225
193	0.1249900274
194	0.1249179951
195	0.1248285974
196	0.1247481389
197	0.1247029004
198	0.1246263295
199	0.1245727354
200	0.1244688408
201	0.1243931578
202	0.1243207539
203	0.1242489047
