iter	Passed	Remaining
0	51	51819
1	88	44002
2	124	41370
3	164	41017
4	208	41489
5	250	41525
6	302	42938
7	359	44529
8	404	44486
9	446	44186
10	482	43338
11	523	43127
12	573	43564
13	609	42911
14	649	42663
15	693	42647
16	740	42826
17	800	43686
18	844	43599
19	895	43894
20	935	43621
21	971	43175
22	1005	42706
23	1041	42344
24	1077	42017
25	1112	41662
26	1149	41411
27	1179	40943
28	1211	40561
29	1256	40639
30	1304	40762
31	1339	40506
32	1375	40292
33	1410	40075
34	1453	40066
35	1488	39857
36	1529	39815
37	1566	39662
38	1611	39707
39	1647	39546
40	1689	39528
41	1732	39524
42	1767	39347
43	1813	39408
44	1850	39273
45	1887	39147
46	1924	39023
47	1972	39123
48	2010	39019
49	2049	38934
50	2089	38885
51	2129	38830
52	2169	38772
53	2206	38652
54	2243	38554
55	2280	38443
56	2316	38327
57	2352	38205
58	2387	38071
59	2429	38056
60	2465	37948
61	2508	37958
62	2545	37866
63	2582	37773
64	2635	37913
65	2671	37812
66	2718	37849
67	2770	37969
68	2812	37947
69	2857	37963
70	2893	37860
71	2931	37781
72	2968	37693
73	3003	37581
74	3050	37623
75	3096	37649
76	3135	37589
77	3169	37462
78	3204	37357
79	3242	37291
80	3279	37202
81	3319	37165
82	3357	37099
83	3396	37039
84	3431	36935
85	3471	36894
86	3511	36847
87	3556	36853
88	3602	36874
89	3647	36882
90	3692	36885
91	3728	36796
92	3784	36911
93	3822	36845
94	3860	36778
95	3902	36745
96	3947	36750
97	3997	36789
98	4036	36732
99	4085	36765
100	4131	36775
101	4169	36708
102	4212	36687
103	4259	36694
104	4293	36599
105	4339	36602
106	4378	36543
107	4424	36543
108	4461	36470
109	4510	36496
110	4562	36540
111	4608	36538
112	4653	36531
113	4693	36479
114	4730	36405
115	4764	36310
116	4808	36290
117	4846	36225
118	4888	36193
119	4934	36186
120	4970	36105
121	5002	36000
122	5034	35894
123	5073	35838
124	5116	35817
125	5157	35772
126	5193	35700
127	5233	35656
128	5275	35621
129	5315	35571
130	5355	35524
131	5389	35437
132	5444	35489
133	5486	35460
134	5531	35444
135	5579	35447
136	5621	35413
137	5655	35329
138	5700	35312
139	5737	35245
140	5774	35176
141	5818	35157
142	5862	35133
143	5905	35105
144	5946	35063
145	5982	34993
146	6017	34915
147	6059	34880
148	6108	34890
149	6145	34823
150	6176	34725
151	6232	34769
152	6285	34793
153	6322	34730
154	6356	34655
155	6398	34619
156	6442	34593
157	6477	34517
158	6514	34455
159	6561	34447
160	6607	34433
161	6653	34415
162	6691	34361
163	6729	34303
164	6764	34231
165	6806	34196
166	6841	34124
167	6876	34053
168	6912	33988
169	6956	33966
170	6999	33931
171	7038	33884
