iter	RMSE
0	47.86163251
1	45.86525362
2	44.01442323
3	42.35324099
4	40.70837373
5	39.1525451
6	37.77009442
7	36.48785712
8	35.25044014
9	34.09551979
10	33.02465114
11	32.04978515
12	31.13185869
13	30.33559669
14	29.52346594
15	28.83779617
16	28.14777244
17	27.50081152
18	26.97530661
19	26.418208
20	25.91438129
21	25.44553319
22	25.01773328
23	24.61168243
24	24.26252847
25	23.88300865
26	23.5898466
27	23.26249278
28	22.99771848
29	22.71992506
30	22.43695918
31	22.19532685
32	21.97038794
33	21.74314626
34	21.55085006
35	21.34713737
36	21.15133892
37	20.9757306
38	20.82976142
39	20.67866691
40	20.52848893
41	20.38456079
42	20.22587359
43	20.13085923
44	20.00426866
45	19.84874017
46	19.74130328
47	19.65045029
48	19.5550798
49	19.48860965
50	19.41897638
51	19.26870676
52	19.20666889
53	19.13836445
54	19.08593128
55	19.01832296
56	18.9188433
57	18.84201602
58	18.79050622
59	18.71085631
60	18.62382036
61	18.54807584
62	18.50623572
63	18.46690575
64	18.42464482
65	18.37154386
66	18.32859983
67	18.28910966
68	18.26300332
69	18.20727547
70	18.17163005
71	18.09968296
72	18.0390435
73	17.98019272
74	17.90788415
75	17.83878963
76	17.77368891
77	17.71713592
78	17.62572293
79	17.59288777
80	17.56778452
81	17.51945198
82	17.47261321
83	17.38844889
84	17.36470876
85	17.32414893
86	17.2693336
87	17.22356889
88	17.20140496
89	17.16206896
90	17.10468425
91	17.06463657
92	17.00391736
93	16.96738825
94	16.93250461
95	16.90407663
96	16.86077638
97	16.82981715
98	16.78891779
99	16.75357281
100	16.7121107
101	16.67768787
102	16.63675436
103	16.61250975
104	16.58240341
105	16.55915187
106	16.52223274
107	16.4574585
108	16.42830503
109	16.3958189
110	16.36289392
111	16.34146588
112	16.29776495
113	16.27313006
114	16.22536951
115	16.194657
116	16.14780147
117	16.12084887
118	16.09533796
119	16.08002604
120	16.04706544
121	16.00710602
122	15.95312869
123	15.89739061
124	15.87425502
125	15.84672439
126	15.81910895
127	15.77456864
128	15.76020073
129	15.74143726
130	15.71428277
131	15.68970754
132	15.67155187
133	15.64410179
134	15.6115505
135	15.58019325
136	15.5485424
137	15.52795051
138	15.51205611
139	15.49333891
140	15.46705986
141	15.44562309
142	15.41493662
143	15.39373068
144	15.35900302
145	15.32704579
146	15.29121463
147	15.27657251
148	15.24852723
149	15.22903
150	15.21476304
151	15.1890665
152	15.17772397
153	15.16578729
154	15.13970173
155	15.12730024
156	15.10566365
157	15.08437866
158	15.06759483
159	15.03301245
160	15.01581169
161	14.9927481
162	14.97430529
163	14.96790787
164	14.94823056
165	14.93606895
166	14.90841252
167	14.89401544
168	14.87503541
169	14.85029717
170	14.82491734
171	14.80604718
172	14.77197593
173	14.75461438
174	14.74009417
175	14.72702993
176	14.70837049
177	14.69234837
178	14.67842124
179	14.65524407
180	14.64671802
181	14.63243557
182	14.61612542
183	14.59412348
184	14.57883006
185	14.55467213
186	14.53872238
187	14.52668613
188	14.50783054
189	14.49515563
190	14.48304317
191	14.47694839
192	14.46278084
193	14.45111759
194	14.44205594
195	14.42758409
196	14.41792942
197	14.39507655
198	14.37451767
199	14.35589897
200	14.34866038
201	14.33369813
202	14.31543223
203	14.30593661
204	14.29406702
205	14.28584512
206	14.27397804
207	14.26668732
208	14.24121851
209	14.22206225
210	14.21046133
211	14.18992303
212	14.17596274
213	14.16398413
214	14.15301587
215	14.13857828
216	14.12258666
217	14.10469686
218	14.07410131
219	14.04592161
220	14.02343503
221	14.00605285
222	13.97723462
223	13.96228764
224	13.94277505
225	13.92789258
226	13.91154873
227	13.90126689
228	13.89074844
229	13.88331576
230	13.85451884
231	13.82744468
232	13.81730833
233	13.8114045
234	13.79950513
235	13.78710414
236	13.76394915
237	13.75488074
238	13.74310086
239	13.72832155
240	13.70684099
241	13.69305319
242	13.68017186
243	13.66338098
244	13.65106515
245	13.64052223
246	13.61836088
247	13.61007459
248	13.60153875
249	13.59057331
250	13.57764638
251	13.56682617
252	13.55488504
253	13.54813674
254	13.52495028
255	13.50958996
256	13.50287917
257	13.49147424
258	13.46183734
259	13.45422289
260	13.44300922
261	13.43370966
262	13.41825886
263	13.40650036
264	13.3886742
265	13.37640531
266	13.36213167
267	13.35442704
268	13.34146883
269	13.33384909
270	13.3282246
271	13.30944976
272	13.29910565
273	13.28945314
274	13.2848887
275	13.2782879
276	13.26594207
277	13.24828525
