iter	RMSE
0	1654.192386
1	1609.91312
2	1562.364286
3	1518.14832
4	1479.352201
5	1442.224437
6	1407.889483
7	1378.518769
8	1350.906242
9	1325.823874
10	1301.689527
11	1279.944088
12	1262.189308
13	1245.312587
14	1229.095249
15	1214.392909
16	1200.73576
17	1188.980813
18	1177.264991
19	1167.509698
20	1158.508286
21	1150.386787
22	1143.201804
23	1136.025607
24	1130.116174
25	1125.51975
26	1120.027347
27	1115.928745
28	1112.446715
29	1109.148961
30	1106.827193
31	1103.156452
32	1100.327352
33	1097.713276
34	1094.914874
35	1092.891905
36	1090.914634
37	1089.259476
38	1087.671887
39	1085.976883
40	1084.525195
41	1082.843376
42	1081.443549
43	1080.78683
44	1079.59683
45	1078.730238
46	1077.541856
47	1076.474071
48	1076.01874
49	1075.349486
50	1074.737089
51	1074.151709
52	1073.317367
53	1072.819763
54	1072.040894
55	1071.504582
56	1070.933289
57	1070.092211
58	1069.481197
59	1068.911682
60	1068.318848
61	1067.859286
62	1067.37817
63	1066.87116
64	1066.45624
65	1065.932952
66	1065.423031
67	1065.06841
68	1064.742747
69	1064.381054
70	1063.899539
71	1063.608623
72	1063.164994
73	1062.87453
74	1062.425796
75	1062.152188
76	1061.832739
77	1061.165986
78	1060.796667
79	1060.342062
80	1060.019942
81	1059.754285
82	1059.51598
83	1059.276023
84	1059.044856
85	1058.89621
86	1058.437154
87	1058.012106
88	1057.840215
89	1057.578621
90	1057.006518
91	1056.565892
92	1056.18146
93	1055.911512
94	1055.689778
95	1055.425293
96	1055.177118
97	1054.98339
98	1054.552906
99	1054.298864
100	1054.027225
101	1053.888989
102	1053.629884
103	1053.478212
104	1052.887891
105	1052.563828
106	1052.22647
107	1052.012293
108	1051.808485
109	1051.655631
110	1051.333293
111	1051.14987
112	1050.851394
113	1050.600105
114	1050.271225
115	1049.996292
116	1049.578116
117	1049.31582
118	1049.12915
119	1048.871486
120	1048.669414
121	1048.25863
122	1047.898699
123	1047.41967
124	1047.09118
125	1046.767954
126	1046.519467
127	1046.352851
128	1046.201966
129	1045.888282
130	1045.756485
131	1045.517249
132	1045.228194
133	1044.644448
134	1044.198029
135	1043.943439
136	1043.937944
137	1043.654199
138	1043.376995
139	1043.223757
140	1043.033645
141	1042.616306
142	1042.32843
143	1042.12428
144	1041.876564
145	1041.601458
146	1041.392251
147	1041.091403
148	1040.898844
149	1040.475481
150	1040.181116
151	1039.780743
152	1039.573102
153	1039.35816
154	1038.86655
155	1038.688082
156	1038.201263
157	1037.954895
158	1037.84678
159	1037.513253
160	1037.17191
161	1036.998899
162	1036.725567
163	1036.388228
164	1036.134276
165	1035.94357
166	1035.608324
167	1035.357771
168	1034.995852
169	1034.658605
170	1034.354601
171	1033.906437
172	1033.450995
173	1033.071748
174	1032.775947
175	1032.477662
176	1032.219792
177	1031.929138
178	1031.656364
179	1031.35222
180	1031.018178
181	1030.64203
182	1030.199028
183	1029.875477
184	1029.481582
185	1029.016391
186	1028.769523
187	1028.507085
188	1028.084779
189	1027.628157
190	1027.360418
191	1027.013646
